Job,Job Id,Company,Date Opened,Location,Status,Type,Owners,Description
Senior Actuarial Data Analyst,519845,Capital Insurance Group,9-25-20,San Francisco; CA,Inactive,Full Time,Austin Jared,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our California insurance client is seeking a Senior Actuarial
Data Analyst to join its growing. This role is located South of
San Francisco. In this role you lead your own analyses will play
a key part in our client's actuarial efforts. Our client is
looking for a candidate with good business sense and has the
ability to identify and solve complicated business challenges. A
primary responsibility is ensuring data integrity for the
internal database.

Responsibilities:

* Developing dashboards to communicate analyses
* Support actuarial analyses with creative solutions to address
rate filing; automation; etc.
* Developing a streamlined analytical solution to automate the
company's rate review process
* Managing multiple projects simultaneously
* Collaborate cross-functionally with internal partners in
Product; IT; and Actuarial to support pricing solutions

Qualifications:

* Candidates should have a minimum of three (3) years of
analytics experience
* Proficiency in the following technical skills: Excel; R;
Tableau; VBA; SQL; and SAS
* Predictive Modeling experience

You will really impress us if you:
Have experience in property and casualty insurance and/or a
Master's degree

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our California insurance client is seeking a Senior Actuarial
Data Analyst to join its growing. This role is located South of
San Francisco. In this role you lead your own analyses will play
a key part in our client's actuarial efforts. Our client is
looking for a candidate with good business sense and has the
ability to identify and solve complicated business challenges. A
primary responsibility is ensuring data integrity for the
internal database.

Responsibilities:

Developing dashboards to communicate analyses
Support actuarial analyses with creative solutions to address
rate filing; automation; etc.
Developing a streamlined analytical solution to automate the
company's rate review process
Managing multiple projects simultaneously
Collaborate cross-functionally with internal partners in Product;
IT; and Actuarial to support pricing solutions  Qualifications:

Candidates should have a minimum of three (3) years of analytics
experience
Proficiency in the following technical skills: Excel; R; Tableau;
VBA; SQL; and SAS
Predictive Modeling experience
You will really impress us if you:
Have experience in property and casualty insurance and/or a
Master's degree

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Assistant Actuary; Life Product Design & Modeling,519846,Pacific Life Insurance Co,1-15-19,Aliso Viejo; CA,Inactive,Full Time,jacobgalecki,"Our West Coast life insurance client is seeking an assistant
actuary to join its product development team. In this role you
will design; model; and validate new life products. Candidates
should have a minimum of five (5) years of experience and be a
Fellow of the Society of Actuaries (FSA). Proficiency with
MG-ALFA required.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our West Coast life insurance client is seeking an
assistant actuary to join its product development team. In this
role you will design; model; and validate new life products.
Candidates should have a minimum of five (5) years of experience
and be a Fellow of the Society of Actuaries (FSA). Proficiency
with MG-ALFA required.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Senior Actuarial Data Analyst,519848,Capital Insurance Group,9-25-20,Los Angeles; CA,Inactive,Full Time,Austin Jared,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our California insurance client is seeking a Senior Actuarial
Data Analyst to join its growing. This role is located South of
San Francisco. In this role you lead your own analyses will play
a key part in our client's actuarial efforts. Our client is
looking for a candidate with good business sense and has the
ability to identify and solve complicated business challenges. A
primary responsibility is ensuring data integrity for the
internal database.

Responsibilities:

* Developing dashboards to communicate analyses
* Support actuarial analyses with creative solutions to address
rate filing; automation; etc.
* Developing a streamlined analytical solution to automate the
company's rate review process
* Managing multiple projects simultaneously
* Collaborate cross-functionally with internal partners in
Product; IT; and Actuarial to support pricing solutions

Qualifications:

* Candidates should have a minimum of three (3) years of
analytics experience
* Proficiency in the following technical skills: Excel; R;
Tableau; VBA; SQL; and SAS
* Predictive Modeling experience

You will really impress us if you:
Have experience in property and casualty insurance and/or a
Master's degree

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our California insurance client is seeking a Senior Actuarial
Data Analyst to join its growing. This role is located South of
San Francisco. In this role you lead your own analyses will play
a key part in our client's actuarial efforts. Our client is
looking for a candidate with good business sense and has the
ability to identify and solve complicated business challenges. A
primary responsibility is ensuring data integrity for the
internal database.

Responsibilities:

Developing dashboards to communicate analyses
Support actuarial analyses with creative solutions to address
rate filing; automation; etc.
Developing a streamlined analytical solution to automate the
company's rate review process
Managing multiple projects simultaneously
Collaborate cross-functionally with internal partners in Product;
IT; and Actuarial to support pricing solutions  Qualifications:

Candidates should have a minimum of three (3) years of analytics
experience
Proficiency in the following technical skills: Excel; R; Tableau;
VBA; SQL; and SAS
Predictive Modeling experience
You will really impress us if you:
Have experience in property and casualty insurance and/or a
Master's degree

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuarial Consultant,519869,Oliver Wyman,5-19-20,Columbus; OH,Inactive,Full Time,jacobgalecki,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

* You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
* You will assist in managing the book of business and junior
members of staff
* You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics

Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
You will assist in managing the book of business and junior
members of staff
You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Senior Actuarial Analyst - Personal Lines,519853,Country Financial,2-9-20,Bloomington; IL,Inactive,Full Time,jacobgalecki,"Our Illinois multi-line client is seeking a Senior Actuarial
Analyst to join its personal lines team. In this role you will
work on both pricing and reserving of all personal lines. You
should have at least three (3) years of actuarial experience and
at least five (5) Casualty Actuarial Society (CAS) exams.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Illinois multi-line client is seeking a Senior
Actuarial Analyst to join its personal lines team. In this role
you will work on both pricing and reserving of all personal
lines. You should have at least three (3) years of actuarial
experience and at least five (5) Casualty Actuarial Society (CAS)
exams.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuary; Head of Personal Lines Actuarial,520015,The Hanover Insurance Group,9-20-19,Worcester; MA,Inactive,Full Time,jacobgalecki,"Our New England client is seeking an actuary to lead its personal
lines pricing actuarial department. In this role you will be
responsible for the execution of all strategic initiatives as it
pertains to the pricing and modeling of personal lines product.
You will have regular; cross-functional interactions with claims;
underwriting; data science; finance; and product. Candidates
should have a minimum of ten (10) years of experience and be a
Fellow of the Casualty Actuarial Society (FCAS).

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our New England client is seeking an actuary to lead
its personal lines pricing actuarial department. In this role you
will be responsible for the execution of all strategic
initiatives as it pertains to the pricing and modeling of
personal lines product. You will have regular; cross-functional
interactions with claims; underwriting; data science; finance;
and product. Candidates should have a minimum of ten (10) years
of experience and be a Fellow of the Casualty Actuarial Society
(FCAS).

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuarial Consultant,520061,Oliver Wyman,5-19-20,Atlanta; GA,Inactive,Full Time,jacobgalecki,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

* You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
* You will assist in managing the book of business and junior
members of staff
* You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics

Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
You will assist in managing the book of business and junior
members of staff
You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuary - Small Business Insurance,520069,Berkley Regional Marketplace,4-30-20,Wilmington; DE,Inactive,Full Time,jacobgalecki,"Our Philadelphia-area client is seeking for an actuary to join
its new team to reinvent the company’s approach to underwriting
through technology. This team has been given a lot of latitude to
approach this problem the way they want. There is tons of support
from the executive team; and a lot of resources are being put
behind them.

* You will be responsible for building pricing models for core
commercial lines of business.
* You will work with your team to automate the underwriting
functions using modern data science techniques.
* You will get to build new models while working to improve the
existing models.
* You will be responsible for creating and maintaining the rate
filing process.

Qualifications:

* You will be successful in this role if you have at least 5
years of actuarial experience preferably in small commercial
ratemaking
* Proficiency in Python or R is required with Python the
preferred language.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254
844.GALECKI.Our Philadelphia-area client is seeking for an
actuary to join its new team to reinvent the company?s approach
to underwriting through technology. This team has been given a
lot of latitude to approach this problem the way they want. There
is tons of support from the executive team; and a lot of
resources are being put behind them.

You will be responsible for building pricing models for core
commercial lines of business.
You will work with your team to automate the underwriting
functions using modern data science techniques.
You will get to build new models while working to improve the
existing models.
You will be responsible for creating and maintaining the rate
filing process.  Qualifications:

You will be successful in this role if you have at least 5 years
of actuarial experience preferably in small commercial ratemaking
Proficiency in Python or R is required with Python the preferred
language.  Galecki Search Associates is boutique search firm
offering a customer-centric; bespoke recruitment experience to
actuaries; data scientists; analytics professionals; and to those
that hire them. Contact us at contact@galeckisearch.com or
844.425.3254 844.GALECKI."
Manager & Sr. Consultant,519851,Willis Towers Watson,10-29-20,Bloomington; IL,Inactive,Full Time,Austin Jared,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Bloomington client is seeking a PPCU Manager Sr. Consultant
to join its growing team. In this role you will develop and
deliver reserving studies and pricing analysis for the company
and its clients; participate in and grow their marketing efforts;
and offer structure to client teams.

Responsibilities:

* Provide consistent and excellent project management
* Serve as daily project lead and contact to clients to ensure
services are delivered
* Develop a trusted; advisory relationship with client contacts
* Demonstrate an understanding of client’s more broad business
issues
* Perform technical and peer reviews of work products
* Help with the development of new tools / approaches and apply
technical expertise
* Develop new business opportunities and enhance existing
relationships

Qualifications:

* Extensive experience in P&C and predictive modeling
* Experience using Emblem; Python; Radar and/or R
* Strong analytical skills

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Bloomington client is seeking a PPCU Manager Sr. Consultant
to join its growing team. In this role you will develop and
deliver reserving studies and pricing analysis for the company
and its clients; participate in and grow their marketing efforts;
and offer structure to client teams.

Responsibilities:

Provide consistent and excellent project management
Serve as daily project lead and contact to clients to ensure
services are delivered
Develop a trusted; advisory relationship with client contacts
Demonstrate an understanding of client?s more broad business
issues
Perform technical and peer reviews of work products
Help with the development of new tools / approaches and apply
technical expertise
Develop new business opportunities and enhance existing
relationships
Qualifications:

Extensive experience in P&C and predictive modeling
Experience using Emblem; Python; Radar and/or R
Strong analytical skills
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254
844.GALECKI."
Actuarial Consultant,519855,Oliver Wyman,5-19-20,Philadelphia; PA,Inactive,Full Time,jacobgalecki,"Our Philadelphia consulting client is seeking an actuary to join
its team. In this role you work on a variety of engagements
including professional liability pricing and reserving;
feasibility studies or captive insurers; reinsurance ceding; and
liability modeling. Your clients will be insurers; reinsurers;
and self-insured organizations. You should have at least five (5)
years of property & casualty actuarial experience and be an
Associate of the Casualty Actuarial Society (ACAS); FCAS
preferred.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Philadelphia consulting client is seeking an
actuary to join its team. In this role you work on a variety of
engagements including professional liability pricing and
reserving; feasibility studies or captive insurers; reinsurance
ceding; and liability modeling. Your clients will be insurers;
reinsurers; and self-insured organizations. You should have at
least five (5) years of property & casualty actuarial experience
and be an Associate of the Casualty Actuarial Society (ACAS);
FCAS preferred.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuary & Personal Lines Manager,519862,Farm Bureau Insurance of Michigan,4-2-19,Lansing; MI,Inactive,Full Time,jacobgalecki,"Our Michigan client is currently seeking an actuary to manage its
personal lines pricing division. Is this role you will work
closely with underwriting; marketing; and product management to
develop and implement pricing programs and strategies. You should
have at least five years of experience in commercial lines and
some supervisory experience. Associate of the Casualty Actuarial
Society (ACAS) designation required; FCAS preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Michigan client is currently seeking an actuary
to manage its personal lines pricing division. Is this role you
will work closely with underwriting; marketing; and product
management to develop and implement pricing programs and
strategies. You should have at least five years of experience in
commercial lines and some supervisory experience. Associate of
the Casualty Actuarial Society (ACAS) designation required; FCAS
preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Assistant Actuary; Life Valuation & Reserving,519859,Pacific Life Insurance Co,1-15-19,Aliso Viejo; CA,Inactive,Full Time,jacobgalecki,"Our West Coast life insurance client is seeking an assistant
actuary to join its reserving team. In this role you will manage
the reserving process for life products. Candidates should have a
minimum of three (3) years of experience and be an Associate of
the Society of Actuaries (ASA). Proficiency with VBA preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our West Coast life insurance client is seeking an
assistant actuary to join its reserving team. In this role you
will manage the reserving process for life products. Candidates
should have a minimum of three (3) years of experience and be an
Associate of the Society of Actuaries (ASA). Proficiency with VBA
preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Assistant Actuary; Valuation & ERM,519863,Pacific Life Insurance Co,12-22-18,Newport Beach; CA,Inactive,Full Time,jacobgalecki,"Our Southern California Life and Annuity client is seeking an
Assistant Actuary to join its Enterprise Risk Management (ERM)
department. Candidate must have their ASA (Associate; Society of
Actuaries) and a minimum of three (3) years of experience. VBA;
C++; MoSes; highly preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Southern California Life and Annuity client is
seeking an Assistant Actuary to join its Enterprise Risk
Management (ERM) department. Candidate must have their ASA
(Associate; Society of Actuaries) and a minimum of three (3)
years of experience. VBA; C++; MoSes; highly preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuarial Analyst,519876,Westfield Insurance,6-30-20,Cleveland; OH,Inactive,Full Time,jacobgalecki,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Midwest client is looking for an Actuarial Analyst to join
its team. In this role you will perform analyses in support of
pricing; reserving; modeling in addition to making recommendation
and supporting of process improvement.

Responsibilities:

* Contributing to new and existing product pricing
* Collaborating cross functionally with other departments such as
underwriting and product
* Determining loss and loss expense reserve recommendations
* Supporting state filing and related reporting
* Estimating unpaid loss and loss expense liabilities
* Contributing to financial reporting
* Researching; analyzing; validating; and making recommendations
within determined deadlines
* Developing reports that help management's strategic decision
making in achieving company goals and objectives
* Commitment to expanding your actuarial skillet; including the
latest methods; tools and technologies in addition to industry /
actuarial trends and competitive landscape
* Comfort with travelling as needed for the role

Qualifications:

* You have at least two (2) years of actuarial experience in an
insurance environment and have completed at least three (3)
Casualty Actuarial Society exams (CAS)
* Advanced Excel Skills (examples: Array formulas; complex
multi-tab workbooks; pivot tables; visual basic macros)
* Proficiency in Programming Languages such as SAS; R; SQL; VBA
* Strong Analytical Skills
* Strong Communication Skills

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Midwest client is looking for an Actuarial Analyst to join
its team. In this role you will perform analyses in support of
pricing; reserving; modeling in addition to making recommendation
and supporting of process improvement.

Responsibilities:

Contributing to new and existing product pricing
Collaborating cross functionally with other departments such as
underwriting and product
Determining loss and loss expense reserve recommendations
Supporting state filing and related reporting
Estimating unpaid loss and loss expense liabilities
Contributing to financial reporting
Researching; analyzing; validating; and making recommendations
within determined deadlines
Developing reports that help management's strategic decision
making in achieving company goals and objectives
Commitment to expanding your actuarial skillet; including the
latest methods; tools and technologies in addition to industry /
actuarial trends and competitive landscape
Comfort with travelling as needed for the role  Qualifications:

You have at least two (2) years of actuarial experience in an
insurance environment and have completed at least three (3)
Casualty Actuarial Society exams (CAS)
Advanced Excel Skills (examples: Array formulas; complex
multi-tab workbooks; pivot tables; visual basic macros)
Proficiency in Programming Languages such as SAS; R; SQL; VBA
Strong Analytical Skills
Strong Communication Skills
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
